feature,mean_abs_shap,rank,target,aggregation,n_explained,seq_len
tr_s11_slope5,0.23424089616718022,1,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s12_pct1,0.233816645708425,2,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s9_pct1,0.22201751219814045,3,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s2_slope5,0.19754166773839096,4,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s9_slope5,0.19334752325006654,5,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s7_slope5,0.17733165494479303,6,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s13_slope5,0.16870199808277114,7,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s15_slope5,0.16685073449758542,8,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
operational_setting_1,0.1635192010075128,9,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s8_slope5,0.16146889067302558,10,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s20_slope5,0.15624730673337764,11,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s11_pct1,0.15352131514900128,12,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s13_pct1,0.15072970579372486,13,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s12_slope5,0.14521393060512097,14,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s21_slope5,0.14358671450960295,15,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s4_pct1,0.14226106125915916,16,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s2_rmin5,0.12954854698769486,17,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
operational_setting_2,0.12014525940469806,18,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s2_pct1,0.11647331006426126,19,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s7_pct1,0.11552418923376051,20,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s21_pct1,0.10970629383049345,21,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s3_pct1,0.10584079918673463,22,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s15_pct1,0.104284922847209,23,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s17_slope5,0.10397188499900949,24,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s4_slope5,0.10192737477733317,25,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s20_pct1,0.10112994422108817,26,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s8_pct1,0.10009498453229616,27,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_12_kalman,0.0959100153151509,28,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s13_rmin5,0.09223634929975863,29,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_20_kalman,0.08971348519267,30,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_7_kalman,0.08773408632621871,31,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_3_kalman,0.08145475405763682,32,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s12_rmin5,0.08063959944884096,33,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s3_rmin5,0.08008979691529505,34,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_4_kalman,0.07964781882037399,35,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_17_kalman,0.07520813790389518,36,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s7_s11_ratio,0.0686573396905551,37,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_13_kalman,0.06440592728514548,38,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s21_rmin5,0.05776290986949304,39,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_8_kalman,0.057127235200935655,40,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s4_s12_prod,0.055065558782119294,41,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s4_s2_prod,0.05306820150421025,42,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
tr_s3_slope5,0.05302131214028001,43,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s4_s11_ratio,0.0528139877752216,44,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_2_kalman,0.0495857577489769,45,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_9_kalman,0.04888446709178728,46,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s11_s12_prod,0.04804375143848211,47,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_21_kalman,0.047382315511746126,48,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s4_rmin5,0.047067623654293435,49,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s9_rmin5,0.046741252109514485,50,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s4_s12_ratio,0.040818152351811174,51,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s11_s12_ratio,0.0379484729451154,52,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s7_rmin5,0.03746683101963996,53,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s11_rmin5,0.03728697042566795,54,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rc_s17_pct1,0.03712767642073595,55,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s8_rmin5,0.035536539430832514,56,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_15_kalman,0.034867465923495426,57,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s12_s21_ratio,0.03455170630587311,58,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s15_rmin5,0.03398421983921533,59,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s17_rmin5,0.0339465342263076,60,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s4_s11_prod,0.03363286460676257,61,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
sensor_measurement_11_kalman,0.031970103176246996,62,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
rs_s20_rmin5,0.030246806739945897,63,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s12_s21_prod,0.028026070741331448,64,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s4_s2_ratio,0.025840918291867333,65,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
si_s7_s11_prod,0.025192214828251052,66,median_quantile_head_index_1,mean_abs_shap_over_samples_and_time_steps,100,30
